ID,Valor,Otro
1,45.98,557
2,78.5,367
3,54.65,189
4,49.07,668
5,24.65,166
6,64.24,245
7,72.72,671
8,29.66,491
9,43.29,388
10,53.16,214
11,15.94,995
12,51.89,514
13,65.28,757
14,85.63,739
15,53.93,724
16,38.4,893
17,60.04,863
18,66.34,271
19,44.47,624
20,89.98,474
21,60.75,175
22,75.91,288
23,70.09,884
24,93.37,654
25,47.23,108
26,18.11,799
27,89.92,625
28,55.15,479
29,44.74,361
30,58.86,246
31,98.6,950
32,54.66,491
33,87.51,888
34,98.0,180
35,27.56,762
36,54.32,695
37,40.96,794
38,80.37,638
39,33.32,788
40,89.72,196
41,99.1,856
42,73.5,147
43,18.6,515
44,60.54,461
45,32.83,758
46,17.59,765
47,11.22,923
48,24.28,158
49,22.54,839
50,94.57,660
51,73.76,773
52,72.71,352
53,67.39,470
54,99.97,235
55,77.93,505
56,77.74,295
57,30.53,849
58,12.74,892
59,47.06,268
60,43.06,338
61,33.54,971
62,38.94,252
63,19.56,378
64,36.28,600
65,26.77,238
66,54.09,665
67,11.94,878
68,95.8,909
69,57.38,473
70,61.34,805
71,30.79,810
72,85.07,846
73,49.82,659
74,47.63,444
75,84.72,636
76,49.7,797
77,91.29,943
78,55.58,210
79,56.24,381
80,97.26,534
81,31.08,756
82,53.83,595
83,52.36,941
84,24.51,623
85,42.37,736
86,90.54,598
87,99.74,966
88,55.36,850
89,94.38,486
90,10.96,438
91,49.7,350
92,76.33,927
93,39.46,780
94,83.37,974
95,21.51,263
96,26.94,641
97,86.39,933
98,83.87,257
99,14.1,397
100,86.41,277
101,94.68,515
102,17.89,546
103,22.89,482
104,84.09,730
105,96.24,554
106,57.92,511
107,92.48,275
108,61.9,630
109,79.34,886
110,11.31,921
111,84.27,205
112,58.06,820
113,39.1,629
114,34.84,536
115,14.56,818
116,64.28,913
117,91.98,534
118,98.63,508
119,95.46,959
120,51.04,206
121,56.29,106
122,83.65,496
123,25.83,384
124,65.07,162
125,76.63,811
126,56.32,354
127,55.56,530
128,62.39,258
129,39.61,235
130,35.4,292
131,47.69,730
132,14.23,329
133,41.96,340
134,54.98,394
135,69.33,230
136,72.16,511
137,22.09,184
138,65.13,325
139,13.11,334
140,34.83,231
141,10.95,951
142,64.19,859
143,44.89,601
144,29.59,268
145,84.97,681
146,87.55,777
147,27.05,250
