ID,Valor,Otro
1,38.85,831
2,96.49,221
3,38.05,675
4,39.62,437
5,57.51,780
6,12.35,752
7,13.14,898
8,87.24,784
9,41.27,451
10,99.82,560
11,54.23,145
12,99.16,880
13,93.45,717
14,53.81,519
15,64.43,234
16,32.02,853
17,34.11,512
18,75.45,261
19,21.52,997
20,16.7,998
21,94.71,286
22,42.96,758
23,77.94,321
24,86.01,130
25,61.8,759
26,39.93,706
27,82.03,300
28,49.38,873
29,61.1,947
30,28.88,722
31,89.66,904
32,37.2,545
33,20.61,350
34,58.28,847
35,32.65,506
36,53.93,158
37,39.05,274
38,87.69,417
39,96.43,468
40,66.04,107
41,31.38,497
42,92.22,466
43,97.32,564
44,62.12,315
45,59.59,665
46,59.47,296
47,30.18,349
48,49.8,551
49,94.47,168
50,34.86,439
51,82.62,375
52,20.81,350
53,36.31,186
54,61.82,521
55,60.22,214
56,90.79,545
57,94.06,594
58,98.36,858
59,84.26,772
60,58.87,338
61,87.06,967
62,20.08,884
63,82.03,262
64,69.5,982
65,21.35,228
66,68.86,162
67,90.79,463
68,84.5,457
69,84.33,200
70,66.57,868
71,24.16,706
72,71.44,188
73,54.76,785
74,68.18,523
75,74.28,865
76,70.73,299
77,84.9,451
78,15.55,130
79,43.27,415
80,34.84,303
81,88.63,843
82,22.67,780
83,48.7,446
84,50.43,980
85,77.35,588
86,90.39,992
87,53.26,248
88,72.8,324
89,51.92,552
90,11.13,662
91,60.56,529
92,59.07,145
93,38.16,803
94,34.12,327
95,13.87,113
96,20.7,533
97,72.41,348
98,23.46,169
99,95.76,915
100,51.28,158
101,87.35,231
102,66.47,884
103,30.64,540
104,20.74,965
105,84.97,106
106,15.4,246
107,97.39,712
108,71.56,179
109,26.2,430
110,37.42,896
111,54.13,425
112,67.04,248
113,20.62,256
114,62.72,743
115,14.37,667
116,13.13,628
117,73.06,995
118,20.42,826
119,29.38,986
120,57.32,606
121,15.62,109
122,57.51,160
123,38.71,719
124,64.98,939
125,47.67,459
126,53.52,449
127,48.06,244
128,30.42,335
129,93.51,681
130,20.98,835
131,75.18,110
132,76.94,557
133,52.13,503
134,20.42,135
135,98.05,144
136,72.5,467
137,66.18,895
138,22.29,133
139,57.64,192
140,24.7,773
141,37.11,211
142,80.57,842
143,65.85,309
144,48.45,965
145,34.31,645
146,57.96,667
147,77.28,484
148,83.22,237
149,44.59,543
150,71.01,615
151,46.63,838
152,10.5,736
153,72.67,683
154,90.14,175
155,63.7,498
156,37.86,634
157,35.02,644
158,63.52,897
159,57.01,235
160,61.12,921
161,76.27,682
162,27.7,869
163,77.9,135
164,14.19,342
165,31.84,718
166,89.85,631
167,65.09,128
168,67.74,990
169,21.38,178
170,58.76,502
171,11.2,262
172,37.98,514
173,85.29,453
174,54.18,519
175,29.05,419
176,72.61,884
177,26.06,261
178,22.3,959
179,90.38,498
180,42.64,692
181,88.49,159
182,99.81,295
183,88.5,997
184,86.07,757
185,17.34,316
186,42.51,996
187,74.91,742
188,14.95,275
189,82.73,415
190,17.7,639
191,41.19,845
192,77.06,644
193,19.74,147
194,68.2,782
195,63.43,637
196,22.04,320
197,12.72,776
198,47.89,722
199,46.89,741
200,70.65,382
201,76.46,786
202,95.76,610
203,98.85,896
204,85.85,319
205,64.64,620
206,82.47,221
207,97.27,463
208,75.96,459
209,50.24,829
210,92.32,631
211,16.33,540
212,54.67,339
213,58.16,393
214,49.78,555
215,33.48,106
216,86.32,110
217,40.16,284
218,87.61,146
219,56.57,893
220,20.95,499
221,48.63,996
222,34.42,593
223,55.28,374
224,93.1,325
225,98.69,472
226,44.29,265
227,62.53,115
228,54.64,488
229,53.85,319
230,87.16,587
231,56.07,364
232,40.45,469
233,75.77,730
234,33.11,468
