ID,Valor,Otro
1,52.37,397
2,56.82,362
3,61.98,552
4,48.38,534
5,24.62,976
6,40.26,329
7,55.25,841
8,68.69,741
9,86.5,596
10,64.39,790
11,83.32,589
12,12.47,480
13,57.83,947
14,92.7,568
15,54.8,941
16,28.99,308
17,83.34,962
18,37.46,240
19,31.79,733
20,24.04,686
21,96.0,376
22,96.78,712
23,35.72,898
24,80.45,263
25,72.98,381
26,22.64,159
27,47.44,278
28,10.39,984
29,41.17,851
30,52.34,645
31,84.86,647
32,85.02,312
33,89.1,256
34,92.91,250
35,57.68,703
36,44.85,462
37,33.47,856
38,58.63,254
39,30.1,498
40,47.21,934
41,22.47,938
42,78.23,584
43,77.7,400
44,80.69,459
45,84.93,140
46,52.72,563
47,88.78,830
48,60.32,360
49,61.31,411
50,31.68,808
51,22.8,967
52,79.12,689
53,66.44,144
54,72.39,167
55,62.56,986
56,76.94,568
57,65.4,705
58,23.33,278
59,14.02,834
60,12.84,444
61,88.62,443
62,78.91,278
63,32.3,415
64,32.06,461
65,11.09,846
66,80.57,128
67,77.96,589
68,88.87,743
69,92.79,924
70,97.02,527
71,11.37,415
72,46.41,348
73,67.39,971
74,89.31,688
75,82.53,895
76,16.79,476
77,56.02,979
78,80.54,940
79,25.58,456
80,64.19,133
81,86.97,386
82,21.59,142
83,53.13,935
84,99.44,268
85,21.15,809
86,96.11,472
87,77.5,196
88,18.0,542
89,96.28,388
90,98.58,551
91,92.59,131
92,75.95,145
93,68.11,496
94,15.46,432
95,14.89,590
96,54.66,398
97,71.9,971
98,45.73,411
99,34.49,703
100,95.23,625
101,73.63,545
102,82.76,360
103,14.0,471
104,19.48,295
105,86.29,147
106,58.05,839
107,91.0,961
108,93.9,851
109,38.2,137
110,17.71,643
111,78.84,795
112,56.56,785
113,42.85,807
114,86.56,424
115,38.07,183
116,22.64,214
117,63.72,622
118,79.66,569
119,19.61,168
120,28.83,490
121,18.77,444
122,60.06,449
123,83.15,166
124,83.75,538
125,88.67,394
126,81.24,399
127,69.53,990
128,74.81,676
129,70.95,726
130,37.92,150
131,26.53,733
132,66.37,801
133,34.04,409
134,94.05,918
135,45.71,485
136,64.39,933
137,20.18,643
138,24.68,695
139,21.51,557
140,51.58,978
141,45.27,388
142,50.91,980
143,97.3,419
144,48.69,987
145,26.95,458
146,94.44,222
147,58.12,580
148,25.6,731
149,27.06,756
150,60.5,347
151,84.86,599
152,18.09,220
153,88.48,974
154,48.94,520
155,98.77,398
156,91.72,763
157,14.93,527
158,62.37,647
159,31.13,302
160,42.08,226
161,30.59,386
162,28.09,873
163,36.12,604
164,34.72,686
165,69.2,248
166,24.47,379
167,40.38,185
168,79.46,233
169,76.19,735
170,76.16,657
171,50.78,527
172,15.31,167
173,94.65,283
174,18.46,145
175,86.27,897
176,74.54,368
177,24.04,259
178,40.76,706
179,34.02,440
180,77.04,297
181,19.14,103
182,28.64,554
183,13.96,498
184,99.72,703
185,11.75,391
186,94.22,608
187,75.03,247
188,81.19,981
189,72.47,136
190,12.57,470
191,61.15,741
192,79.05,150
193,94.32,513
194,86.11,437
195,19.21,764
196,24.6,870
197,64.69,777
198,70.4,512
199,22.9,665
200,36.14,228
