ID,Valor,Otro
1,63.09,819
2,31.24,664
3,59.45,519
4,67.12,246
5,65.71,760
6,51.8,266
7,43.65,360
8,91.94,992
9,87.61,300
10,95.35,687
11,81.86,692
12,10.91,898
13,63.2,113
14,55.32,847
15,84.77,700
16,15.22,861
17,61.36,272
18,72.16,274
19,70.63,808
20,80.64,453
21,37.16,925
22,43.39,888
23,13.87,907
24,59.12,680
25,78.5,143
26,24.58,916
27,89.29,523
28,88.36,202
29,94.44,539
30,46.58,892
31,53.9,587
32,58.75,907
33,77.55,899
34,38.25,838
35,52.16,971
36,55.27,646
37,89.55,524
38,65.99,748
39,82.74,192
40,30.52,333
41,44.4,954
42,46.85,420
43,82.88,438
44,61.39,623
45,95.93,300
46,58.67,693
47,94.36,716
48,62.68,457
49,15.66,219
50,91.93,635
51,51.54,146
52,63.67,765
53,43.27,410
54,68.35,284
55,80.33,963
56,75.62,185
57,97.76,747
58,17.78,480
59,67.55,939
60,14.01,271
61,36.74,601
62,99.38,462
63,26.95,809
64,12.9,712
65,67.05,370
66,19.93,765
67,81.29,807
68,88.68,528
69,90.61,138
70,94.8,905
71,88.01,725
72,27.27,351
73,40.37,259
74,24.2,317
75,80.62,303
76,92.93,384
77,53.13,234
78,69.96,722
79,74.11,545
80,36.94,566
81,42.14,763
82,16.69,125
83,51.16,661
84,62.45,679
85,59.97,984
86,61.14,815
87,55.26,801
88,97.02,696
89,14.54,459
90,59.35,422
91,18.8,668
92,41.87,634
93,39.44,426
94,12.03,953
95,24.93,228
96,94.16,245
97,89.79,936
98,83.26,613
99,94.61,611
100,74.27,431
101,52.55,478
102,34.56,127
103,10.26,618
104,92.96,565
105,89.16,588
106,76.4,671
107,83.76,512
108,86.63,918
109,71.78,512
110,70.82,191
111,48.47,100
112,96.96,345
113,91.18,879
114,84.01,108
115,92.96,337
116,15.6,881
117,17.93,494
118,42.62,377
119,79.41,818
120,48.82,232
121,98.41,168
122,84.96,867
123,93.69,681
124,86.7,538
125,27.14,145
126,10.64,162
127,98.04,725
128,91.33,470
129,32.74,443
130,59.75,771
131,55.85,654
132,56.83,178
133,86.33,785
134,81.21,436
135,61.94,211
136,68.47,482
137,30.96,746
138,96.6,384
139,15.79,788
140,27.4,567
141,18.46,553
142,80.08,304
143,14.58,177
144,47.05,199
145,56.72,873
146,67.37,530
147,11.01,998
148,75.76,700
149,39.61,188
150,43.78,574
151,48.67,245
152,57.78,979
153,97.19,809
154,96.08,209
155,39.68,692
156,68.83,718
157,86.51,590
158,71.14,723
159,19.31,722
160,49.32,155
161,32.93,295
162,49.46,268
163,23.26,253
164,25.73,243
165,65.94,965
166,35.39,440
167,66.65,269
168,50.89,861
169,24.48,409
170,81.38,799
171,23.38,179
172,68.86,666
173,49.19,647
174,92.64,199
175,46.08,382
176,13.42,586
177,69.81,882
178,25.82,231
179,66.74,933
180,67.93,536
181,35.53,183
182,22.14,611
183,29.75,789
184,35.91,800
185,39.36,434
186,20.12,637
187,51.0,119
188,55.63,795
189,15.42,434
190,28.3,396
191,83.27,814
192,17.28,996
193,75.22,303
194,49.81,561
195,41.13,230
196,99.35,244
197,26.01,610
198,98.79,681
199,75.44,755
200,93.16,642
201,73.07,994
202,34.4,467
203,83.63,589
204,72.9,830
205,70.53,188
206,96.19,740
207,22.25,602
208,19.3,449
209,36.83,584
210,75.48,243
211,60.57,167
212,29.39,384
213,59.76,870
214,53.56,911
215,52.13,119
216,16.28,155
217,20.72,315
218,56.9,839
219,83.83,847
220,84.85,629
221,77.15,223
222,86.13,947
223,21.59,253
224,63.02,116
225,54.6,741
226,82.38,175
227,78.31,623
228,28.67,930
229,58.43,621
230,16.84,987
231,47.98,107
232,16.94,885
233,67.39,141
234,47.04,667
235,44.55,932
236,41.08,672
237,93.65,190
238,28.38,593
239,94.91,726
240,18.96,507
241,12.9,243
242,34.32,222
243,20.49,580
244,64.24,376
245,92.16,601
246,84.69,364
247,40.82,141
248,49.73,159
249,37.97,546
250,39.19,921
251,20.12,951
252,23.23,374
253,79.57,514
254,92.44,577
255,78.15,372
256,19.76,480
257,61.03,892
258,35.68,217
259,21.43,462
260,64.87,181
261,40.85,856
262,99.42,343
263,27.74,631
264,51.01,931
265,79.09,552
266,65.04,894
267,69.22,147
268,42.06,402
269,61.48,644
270,82.67,375
271,71.31,463
272,76.7,542
273,74.56,969
274,91.96,370
275,23.44,267
276,28.19,461
277,82.35,616
278,28.03,435
279,91.1,968
280,88.43,458
281,51.82,752
282,78.57,177
283,46.11,248
284,27.39,802
285,98.41,155
286,23.44,403
287,84.24,425
288,55.59,305
289,48.06,738
290,92.33,759
291,19.72,735
292,72.75,100
293,33.93,257
294,74.05,714
295,68.45,237
296,13.86,635
297,75.1,537
298,10.93,127
299,75.41,421
300,29.01,358
