ID,Valor,Otro
1,23.56,794
2,51.95,922
3,29.83,134
4,12.02,694
5,64.75,780
6,39.96,917
7,63.35,898
8,47.47,118
9,72.51,765
10,96.39,218
11,93.5,878
12,85.16,419
13,69.9,207
14,43.07,583
15,61.22,597
16,68.75,233
17,57.36,668
18,27.82,568
19,29.72,463
20,38.59,663
21,10.12,956
22,48.47,618
23,48.73,673
24,62.86,809
25,61.51,777
26,84.92,141
27,70.2,760
28,86.06,753
29,96.56,528
30,64.68,579
31,24.58,200
32,18.68,866
33,47.61,844
34,71.59,818
35,72.99,346
36,97.19,157
37,65.94,600
38,37.86,418
39,62.81,769
40,47.91,823
41,11.43,876
42,70.29,240
43,94.66,596
44,73.74,622
45,95.98,897
46,23.65,323
47,40.26,211
48,55.49,461
49,60.78,372
50,58.94,314
51,74.95,192
52,20.79,205
53,50.69,919
54,14.03,818
55,49.09,682
56,32.01,829
57,23.15,803
58,73.59,698
59,55.06,744
60,87.89,767
61,23.52,624
62,21.08,327
63,62.37,629
64,36.74,618
65,70.87,210
66,34.31,842
67,50.15,106
68,39.95,141
69,83.35,954
70,73.95,207
71,74.9,122
72,54.93,660
73,65.51,318
74,64.03,787
75,76.77,129
76,84.99,138
77,76.28,765
78,19.33,693
79,37.93,287
80,67.81,529
81,95.27,130
82,79.43,289
83,56.05,421
84,51.19,714
85,67.83,860
86,91.52,979
87,53.78,104
88,47.18,898
89,93.56,631
90,38.88,300
91,57.87,595
92,92.46,425
93,25.44,369
94,22.0,213
95,52.25,992
96,37.86,662
97,95.59,630
98,83.95,100
99,63.36,512
100,99.86,304
101,75.91,510
102,78.23,460
103,83.78,773
104,42.43,494
105,63.37,532
106,53.45,238
107,91.33,158
108,34.48,194
109,97.68,232
110,67.33,786
111,48.49,849
112,95.68,483
113,68.12,372
114,47.92,721
115,37.29,579
116,49.51,866
117,16.65,148
118,45.99,830
119,48.3,489
120,83.18,956
121,26.52,758
122,79.01,922
123,57.34,351
124,84.14,706
125,91.83,869
126,97.44,835
127,20.37,210
128,70.73,508
129,92.58,111
130,22.58,704
131,67.56,326
132,62.3,186
133,70.13,769
134,12.51,803
135,33.88,514
136,47.86,334
137,58.96,568
138,98.54,113
139,39.92,415
140,81.02,393
141,78.6,792
142,82.56,869
143,25.38,243
144,56.25,303
145,71.11,747
146,20.48,623
147,53.95,587
148,41.99,728
149,70.49,854
150,46.52,277
151,29.83,663
152,98.47,613
153,11.44,834
154,10.93,880
155,50.42,101
156,94.12,960
157,53.1,774
158,57.47,926
159,43.05,138
160,36.83,931
161,96.64,652
162,31.59,558
163,82.48,973
164,82.86,912
165,83.03,512
166,39.35,253
167,26.77,714
168,26.12,227
169,27.61,562
170,36.99,164
171,85.58,935
172,29.35,174
173,66.79,235
174,95.54,539
175,44.64,987
176,80.23,997
177,45.48,869
178,36.59,974
179,38.19,505
180,52.67,589
181,99.63,406
182,14.22,452
183,62.62,238
184,65.21,992
185,56.77,547
186,93.06,917
187,24.31,241
188,34.61,381
189,25.37,459
190,78.37,707
191,16.74,914
192,51.79,665
193,98.92,353
194,58.34,977
195,46.66,501
196,28.09,308
197,81.37,845
198,20.7,977
199,27.98,784
200,44.1,841
201,35.13,653
202,45.5,470
203,11.83,241
204,37.03,617
205,54.54,499
206,46.52,642
207,45.14,189
208,76.5,559
209,99.43,843
210,42.33,483
211,44.75,920
212,81.75,122
213,85.52,351
214,17.3,391
215,88.62,769
216,34.44,499
217,26.03,331
218,23.48,255
219,72.08,147
220,54.22,653
221,89.3,212
222,14.07,454
223,58.35,560
224,87.58,987
225,92.51,804
226,90.76,621
227,81.63,254
228,10.8,778
229,44.98,759
230,40.18,113
231,57.11,376
232,84.71,232
233,80.98,594
234,14.53,312
235,90.81,577
236,87.38,824
237,93.71,411
238,31.42,916
239,91.46,360
240,57.89,116
241,65.43,209
242,90.61,865
243,64.22,992
244,96.22,148
245,12.85,209
246,68.16,268
247,86.53,875
248,51.17,609
249,79.3,972
250,64.15,683
251,39.17,219
252,16.22,618
253,55.53,747
254,56.36,666
255,77.73,454
256,12.56,160
257,81.37,703
258,23.36,273
259,76.74,823
260,35.15,482
261,86.75,417
262,28.89,802
263,99.35,121
264,69.48,411
265,26.7,998
266,83.35,442
267,37.01,680
268,97.44,310
269,43.69,781
270,44.02,394
271,74.56,228
272,82.75,864
273,59.25,729
